Equipos,GMC,GRC,GMF,GRF,GMT,GRT,GMCPP,GRCPP,GMFPP,GRFPP,GMTPP,GRTPP,VC,VF,VT,EC,EF,ET,DC,DF,DT,PTC,PTF,PT,RCPP,RRCPP,RFPP,RRFPP,RPP,RRPP,RPCPP,RPRCPP,RPFPP,RPRFPP,RPPP,RRPPP
Alaves,78,82,81,111,159,193,0.5131578947368421,0.5394736842105263,0.5328947368421053,0.7302631578947368,1.0460526315789471,1.2697368421052628,30,25,55,25,12,37,21,39,60,76,76,152,12.289473684210526,11.592105263157896,9.236842105263158,15.236842105263158,10.763157894736842,13.414473684210526,3.6710526315789473,3.8421052631578947,3.0789473684210527,5.197368421052632,3.375,4.519736842105263
Ath Bilbao,142,89,92,138,234,227,0.7473684210526316,0.46842105263157896,0.4842105263157895,0.7263157894736842,1.2315789473684209,1.1947368421052629,48,25,73,32,23,55,15,47,62,95,95,190,12.621052631578948,9.221052631578948,9.863157894736842,11.957894736842105,11.242105263157894,10.589473684210526,4.631578947368421,3.126315789473684,3.5894736842105264,3.9368421052631577,4.110526315789474,3.531578947368421
Ath Madrid,167,49,134,76,301,125,0.8789473684210526,0.2578947368421053,0.7052631578947368,0.4,1.5842105263157895,0.6578947368421053,71,47,118,17,26,43,7,22,29,95,95,190,13.463157894736842,9.473684210526315,10.43157894736842,12.694736842105263,11.947368421052632,11.08421052631579,4.821052631578947,2.663157894736842,4.052631578947368,3.9157894736842107,4.436842105263158,3.289473684210526
Barcelona,286,76,221,91,507,167,1.5052631578947369,0.4,1.1631578947368422,0.4789473684210526,2.668421052631579,0.8789473684210526,77,60,137,13,24,37,5,11,16,95,95,190,17.51578947368421,9.389473684210527,13.578947368421053,11.410526315789474,15.547368421052632,10.4,7.684210526315789,3.0526315789473686,6.157894736842105,4.2105263157894735,6.921052631578948,3.6315789473684212
Betis,124,130,99,151,223,281,0.6526315789473685,0.6842105263157895,0.5210526315789473,0.7947368421052632,1.1736842105263159,1.4789473684210526,38,29,67,27,16,43,30,50,80,95,95,190,13.115789473684211,10.189473684210526,9.357894736842105,13.821052631578947,11.236842105263158,12.005263157894737,4.410526315789474,4.063157894736842,3.8,4.968421052631579,4.105263157894737,4.515789473684211
Celta,155,130,114,182,269,312,0.8157894736842105,0.6842105263157895,0.6,0.9578947368421052,1.4157894736842105,1.6421052631578947,42,21,63,26,21,47,27,53,80,95,95,190,12.83157894736842,11.147368421052631,10.221052631578948,13.789473684210526,11.526315789473685,12.468421052631578,4.71578947368421,4.042105263157895,3.557894736842105,4.989473684210527,4.136842105263158,4.515789473684211
Eibar,143,104,98,158,241,262,0.7526315789473684,0.5473684210526316,0.5157894736842106,0.8315789473684211,1.2684210526315791,1.3789473684210527,44,18,62,24,32,56,27,45,72,95,95,190,14.23157894736842,8.284210526315789,11.010526315789473,10.4,12.621052631578948,9.342105263157896,4.8,3.221052631578947,3.473684210526316,4.273684210526316,4.136842105263158,3.7473684210526317
Espanol,126,112,95,154,221,266,0.6631578947368421,0.5894736842105263,0.5,0.8105263157894737,1.1631578947368422,1.4,47,20,67,22,31,53,26,44,70,95,95,190,12.273684210526316,11.663157894736843,9.642105263157895,14.25263157894737,10.957894736842105,12.957894736842105,4.484210526315789,4.0,3.210526315789474,5.021052631578947,3.8473684210526318,4.510526315789473
Getafe,105,59,70,111,175,170,0.6907894736842105,0.3881578947368421,0.4605263157894737,0.7302631578947368,1.1513157894736843,1.118421052631579,37,17,54,17,30,47,22,29,51,76,76,152,11.947368421052632,9.368421052631579,9.052631578947368,11.894736842105264,10.5,10.631578947368421,4.2631578947368425,3.223684210526316,2.776315789473684,4.5131578947368425,3.5197368421052633,3.8684210526315788
Girona,60,78,64,87,124,165,0.5263157894736842,0.6842105263157895,0.5614035087719298,0.7631578947368421,1.087719298245614,1.4473684210526316,14,18,32,15,14,29,28,25,53,57,57,114,12.052631578947368,10.75438596491228,9.824561403508772,15.0,10.93859649122807,12.87719298245614,4.105263157894737,3.982456140350877,3.824561403508772,6.368421052631579,3.9649122807017543,5.175438596491228
